Date,SampleEvent_TreatmentUnit,SampleEvent_DefaultMonitoringStatus,MacroPlot Name,Species Symbol,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Visited,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,,0.1,0.1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,ABCO01,,,,,,,,,,4,True,,0.25,463,L,6.7,6,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, Pole,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,1020,True,2,1,262,L,26.1,,,I,,,,,,,,,,,,,,,,,,,,INSE,-1,FORK,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, Tree_Q2,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,1030,True,2,1,275,L,39.5,,,C,,,,,,,,,,,,,,,,,,,,INSE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, Tree_Q2,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,1023,True,2,1,266,L,36.3,,,C,,,,,,,,,,,,,,,,,,,,ABGR,-1,INSE,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, Tree_Q2,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,1015,True,2,1,0,D,66.6,,,CS,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, Tree_Q2,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,1008,True,1,1,247,L,24.8,,,I,,,,,,,,,,,,,,,,,,,,INSE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, Tree_Q1,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,7,True,,0.25,466,L,8.6,7,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, Pole,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,1039,True,4,1,284,L,59.8,,,D,,,,,,,,,,,,,,,,,,,,INSE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, Tree_Q4,,
5/31/1995 12:00:00 AM,,00Pre,PIPO-01,PIPO1,,,,,,,,,,1013,True,1,1,254,L,29.9,,,I,,,,,,,,,,,,,,,,,,,,INSE,-1,SPAR,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, Tree_Q1,,
