ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,18.41,4.90,-13.51,-73.39,6.55,-11.85,-64.39,6.08,-12.33,-67.00,4.37,-14.03,-76.24,2.44,-15.97,-86.75,***,***,***,1.61,-16.80,-91.27,3.47,-14.94,-81.18,2.19,-16.22,-88.13,3.72,-14.69,-79.79
B_FPIPO3T02_02,9.89,8.06,-1.82,-18.45,6.54,-3.35,-33.90,5.63,-4.26,-43.08,4.44,-5.45,-55.13,2.06,-7.83,-79.15,***,***,***,2.64,-7.24,-73.26,1.67,-8.22,-83.15,5.08,-4.81,-48.66,2.71,-7.18,-72.56
B_FPIPO3T02_03,13.80,4.37,-9.43,-68.34,5.94,-7.85,-56.92,6.68,-7.12,-51.57,8.73,-5.07,-36.73,5.56,-8.23,-59.67,***,***,***,5.42,-8.37,-60.69,5.96,-7.84,-56.82,8.23,-5.57,-40.34,7.11,-6.69,-48.49
B_FPIPO3T02_04,22.38,7.92,-14.46,-64.60,4.62,-17.76,-79.36,7.89,-14.49,-64.75,4.35,-18.03,-80.56,5.02,-17.36,-77.56,***,***,***,6.19,-16.18,-72.32,4.50,-17.88,-79.88,5.75,-16.63,-74.31,4.39,-17.99,-80.40
B_FPIPO3T02_05,14.99,5.65,-9.34,-62.32,3.96,-11.03,-73.61,3.51,-11.48,-76.61,7.62,-7.37,-49.16,6.60,-8.39,-55.99,***,***,***,3.45,-11.54,-77.00,3.94,-11.06,-73.75,3.84,-11.15,-74.40,3.40,-11.59,-77.31
B_FPIPO3T02_06,19.04,4.23,-14.81,-77.77,5.16,-13.88,-72.91,10.98,-8.06,-42.34,5.80,-13.24,-69.54,2.95,-16.09,-84.51,***,***,***,2.16,-16.88,-88.65,3.81,-15.23,-79.98,2.87,-16.17,-84.93,9.30,-9.74,-51.17
B_FPIPO3T02_07,47.64,9.67,-37.97,-79.70,7.04,-40.60,-85.22,7.18,-40.46,-84.93,5.71,-41.93,-88.02,3.13,-44.51,-93.42,***,***,***,4.93,-42.71,-89.65,3.73,-43.91,-92.16,2.87,-44.77,-93.98,4.87,-42.77,-89.77
B_FPIPO3T02_08,30.19,4.70,-25.49,-84.44,3.46,-26.74,-88.55,3.09,-27.11,-89.78,7.40,-22.79,-75.50,2.80,-27.39,-90.73,***,***,***,2.79,-27.40,-90.76,3.36,-26.83,-88.86,1.57,-28.62,-94.80,2.18,-28.02,-92.79
B_FPIPO3T02_09,42.60,***,***,***,9.11,-33.49,-78.61,9.24,-33.36,-78.30,9.36,-33.25,-78.04,6.15,-36.46,-85.57,***,***,***,0.69,-41.92,-98.38,1.29,-41.32,-96.98,1.55,-41.05,-96.36,0.95,-41.65,-97.77
B_FPIPO3T02_10,25.82,10.75,-15.07,-58.37,9.18,-16.64,-64.43,12.35,-13.48,-52.19,8.41,-17.42,-67.44,5.96,-19.86,-76.90,***,***,***,7.05,-18.78,-72.72,3.20,-22.63,-87.62,5.23,-20.59,-79.74,3.65,-22.18,-85.88
B_FPIPO3T02_11,37.00,12.43,-24.57,-66.40,18.56,-18.43,-49.82,21.35,-15.65,-42.30,11.87,-25.13,-67.92,9.44,-27.55,-74.48,***,***,***,9.28,-27.71,-74.91,6.43,-30.57,-82.62,5.96,-31.04,-83.90,7.43,-29.57,-79.92
B_FPIPO3T02_12,33.94,3.70,-30.23,-89.09,2.45,-31.49,-92.78,5.63,-28.30,-83.40,3.12,-30.82,-90.80,1.69,-32.25,-95.03,***,***,***,2.19,-31.74,-93.54,4.52,-29.42,-86.69,1.70,-32.23,-94.98,1.89,-32.04,-94.42
B_FPIPO3T02_13,64.24,12.37,-51.87,-80.74,13.18,-51.05,-79.48,9.09,-55.14,-85.84,12.17,-52.07,-81.05,7.21,-57.03,-88.78,***,***,***,6.90,-57.34,-89.26,9.66,-54.58,-84.97,3.81,-60.43,-94.07,6.33,-57.91,-90.15
B_FPIPO3T02_14,10.06,7.04,-3.02,-30.05,7.79,-2.27,-22.57,7.95,-2.11,-20.95,9.06,-1.00,-9.92,5.85,-4.22,-41.90,***,***,***,2.22,-7.85,-77.98,0.89,-9.17,-91.11,2.56,-7.50,-74.59,2.46,-7.60,-75.58
B_FPIPO3T02_15,18.70,5.65,-13.05,-69.80,3.86,-14.85,-79.38,1.77,-16.93,-90.55,1.42,-17.28,-92.38,0.92,-17.78,-95.08,1.58,-17.12,-91.53,3.85,-14.85,-79.39,3.07,-15.63,-83.57,1.73,-16.98,-90.77,1.69,-17.01,-90.94
B_FPIPO3T02_16,9.10,3.38,-5.72,-62.86,4.04,-5.06,-55.64,2.18,-6.93,-76.09,1.25,-7.85,-86.24,1.36,-7.74,-85.09,1.67,-7.43,-81.68,1.52,-7.58,-83.26,2.30,-6.80,-74.74,1.24,-7.86,-86.36,2.44,-6.66,-73.20
B_FPIPO3T02_17,10.54,6.45,-4.09,-38.80,5.09,-5.45,-51.74,2.38,-8.17,-77.45,2.95,-7.59,-72.02,3.51,-7.03,-66.68,2.83,-7.72,-73.20,2.73,-7.81,-74.10,2.69,-7.85,-74.45,2.22,-8.32,-78.95,2.40,-8.15,-77.28
B_FPIPO3T02_18,25.49,9.48,-16.00,-62.79,6.84,-18.65,-73.17,3.96,-21.52,-84.45,6.83,-18.66,-73.21,3.22,-22.27,-87.38,4.19,-21.29,-83.54,3.74,-21.75,-85.34,5.50,-19.99,-78.41,2.62,-22.87,-89.71,3.81,-21.68,-85.04
B_FPIPO3T02_19,9.28,6.06,-3.23,-34.76,4.15,-5.14,-55.35,4.07,-5.21,-56.16,3.11,-6.17,-66.45,3.39,-5.89,-63.49,1.84,-7.45,-80.22,5.98,-3.31,-35.61,4.87,-4.41,-47.53,4.65,-4.64,-49.94,4.78,-4.51,-48.55
Mean,24.37,7.05,17.33,71.10,6.71,17.66,72.47,6.89,17.48,71.71,6.21,18.17,74.52,4.17,20.20,82.89,2.42,21.95,90.07,3.97,20.41,83.73,3.94,20.43,83.84,3.46,20.92,85.82,3.97,20.40,83.70
