ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.61,0.61,***,***,***,***,***,***,***,0.30,0.30,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,0.91,1.21,0.30,33.33,***,***,***,1.21,0.30,33.33,0.61,-0.30,-33.33,***,***,***,0.91,0.00,0.00,***,***,***,***,***,***,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.00,-0.91,-100.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,0.91,***,***,***,***,***,0.61,***,***,***,***,***,0.30,***,***,0.30,***,***,***,***,***,0.30,***,***,0.30,***,***,0.30,***,***,0.30,***,***,0.30,***,***,***,***,***,0.61,***,***
B:FJUMO1T06:02,***,2.72,***,***,***,***,***,1.21,***,***,***,***,***,0.61,***,***,0.91,***,***,***,***,***,0.91,***,***,1.21,***,***,0.30,***,***,0.61,***,***,0.61,***,***,***,***,***,0.61,***,***
B:FJUMO1T06:03,***,0.61,***,***,***,***,***,1.21,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.30,***,***,0.61,***,***,0.00,***,***,0.00,***,***,1.82,***,***,***,***,***
B:FJUMO1T06:04,***,0.00,***,***,***,***,***,0.30,***,***,0.30,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,1.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.00,***,***,0.91,***,***,0.00,***,***,***,***,***,2.42,***,***,0.61,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:11,***,0.30,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.30,***,***,0.30,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:12,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.30,***,***,0.30,***,***,0.00,***,***,***,***,***,0.30,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:15,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:16,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.91,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:17,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.30,***,***,0.30,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:19,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:20,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_21,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.23,0.43,-0.20,-89.61,0.10,0.13,55.49,0.30,-0.08,-33.32,0.18,0.05,20.02,0.39,-0.17,-73.24,0.28,-0.05,-23.79,0.18,0.05,20.06,0.27,-0.04,-18.45,0.27,-0.04,-18.47,0.14,0.09,39.40,0.12,0.11,46.69,0.18,0.05,20.03,1.82,-1.59,-699.39,0.30,-0.08,-33.29
