ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,0.00,***,***,***,0.30,0.30,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,1.51,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***
B:FPIPO1T02:02,0.00,***,***,***,1.26,1.26,***,***,***,***,1.58,1.58,***,0.32,0.32,***,***,***,***,0.61,0.61,***,1.84,1.84,***,0.30,0.30,***,0.61,0.61,***,0.62,0.62,***,***,***,***,1.23,1.23,***,***,***,***
B:FPIPO1T02:03,2.12,***,***,***,0.00,-2.12,-100.00,***,***,***,0.00,-2.12,-100.00,***,***,***,***,***,***,0.00,-2.12,-100.00,0.91,-1.21,-57.13,0.30,-1.82,-85.64,0.30,-1.82,-85.64,0.00,-2.12,-100.00,0.00,-2.12,-100.00,***,***,***,***,***,***
B:FPIPO1T02:04,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,0.61,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,0.61,0.61,***
B:FPIPO1T02:05,0.30,0.30,0.00,0.00,0.30,0.00,0.00,***,***,***,0.30,0.00,0.00,0.30,0.00,0.00,0.91,0.61,199.99,***,***,***,0.91,0.61,199.99,0.00,-0.30,-100.00,0.91,0.61,200.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,0.61,0.61,0.00,0.00,0.00,-0.61,-100.00,0.61,0.00,0.00,***,***,***,0.30,-0.30,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,-0.30,-50.00,***,***,***,***,***,***
B:FPIPO1T02:07,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.30,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,0.91,***,***,***,***,***,***,***
B:FPIPO1T02:11,0.61,0.00,-0.61,-100.00,0.30,-0.30,-49.96,***,***,***,0.30,-0.30,-49.96,0.30,-0.30,-49.96,***,***,***,0.00,-0.61,-100.00,***,***,***,0.30,-0.30,-49.96,0.30,-0.30,-49.96,0.00,-0.61,-100.00,***,***,***,0.00,-0.61,-100.00,***,***,***
B:FPIPO1T02:12,0.30,0.00,-0.30,-100.00,0.00,-0.30,-100.00,***,***,***,0.00,-0.30,-100.00,0.00,-0.30,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:13,0.61,0.91,0.30,50.00,0.30,-0.30,-50.00,***,***,***,0.30,-0.30,-50.00,0.30,-0.30,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:14,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:15,0.61,0.00,-0.61,-100.00,0.30,-0.30,-50.00,***,***,***,1.51,0.91,150.01,0.61,0.00,0.00,1.51,0.91,149.96,***,***,***,0.30,-0.30,-49.99,0.00,-0.61,-100.00,0.00,-0.61,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.91,0.91,***,0.30,0.30,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:17,0.61,0.91,0.30,50.00,0.91,0.30,50.00,***,***,***,0.30,-0.30,-50.00,1.21,0.61,100.00,0.30,-0.30,-50.00,***,***,***,0.61,0.00,0.00,0.61,0.00,0.00,0.61,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:18,0.61,0.00,-0.61,-100.00,0.00,-0.61,-100.00,***,***,***,0.61,0.00,0.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,***,***,***,0.30,-0.30,-50.01,0.30,-0.30,-50.01,0.00,-0.61,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:19,0.30,***,***,***,1.21,0.91,300.00,0.61,0.30,100.00,***,***,***,1.21,0.91,300.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:20,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:21,0.61,***,***,***,0.61,0.00,0.00,0.30,-0.30,-50.00,***,***,***,0.30,-0.30,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:22,0.61,***,***,***,0.00,-0.61,-100.00,0.00,-0.61,-100.00,***,***,***,0.61,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:23,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:24,0.30,0.00,-0.30,-100.00,2.42,2.12,700.00,0.00,-0.30,-100.00,***,***,***,0.00,-0.30,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:26,0.61,0.61,0.00,0.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,***,***,***,0.00,-0.61,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:31,0.61,1.21,0.61,100.00,***,***,***,0.91,0.30,50.01,***,***,***,1.21,0.61,100.01,***,***,***,0.61,0.00,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:32,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.30,0.30,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:33,0.61,0.61,0.00,0.00,***,***,***,0.61,0.00,0.06,***,***,***,0.61,0.00,0.06,***,***,***,1.82,1.21,200.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:34,0.00,0.00,0.00,0.00,***,***,***,0.30,0.30,***,***,***,***,0.00,0.00,0.00,***,***,***,0.61,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:35,0.61,0.30,-0.30,-50.00,***,***,***,0.30,-0.30,-49.99,***,***,***,0.30,-0.30,-49.99,***,***,***,1.82,1.21,200.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:37,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
